field_name,field_val
date_published,2016-05-13T13:54:12
date_updated,2016-01-04T00:00:00
dimension,2
geometry_type,fme_line
max_x,-116.183848992779
max_y,33.4354651890843
min_x,-117.584525612422
min_y,32.5390651961103
title,CITY.TRANSIT_ROUTES_GTFS
