service_id,date,exception_type,exception_note,schedule_type
63896,20170223,1,FINAL,WD
63897,20170223,1,FINAL,WD
64032,20170223,1,PRODUCTION,WD
63953,20170223,1,Schedule #105,WD
63917,20170224,1,FINAL,WD
63898,20170224,1,FINAL,WD
63893,20170224,1,FINAL,WD
63919,20170224,1,FINAL,WD
63896,20170224,1,FINAL,WD
63897,20170224,1,FINAL,WD
64032,20170224,1,PRODUCTION,WD
63953,20170224,1,Schedule #105,WD
63918,20170225,1,FINAL,SA
63894,20170225,1,FINAL,SA
63920,20170225,1,FINAL,SA
64033,20170225,1,PRODUCTION,SA
63954,20170225,1,Schedule #105,SA
63895,20170226,1,FINAL,SU
63921,20170226,1,FINAL,SU
64034,20170226,1,PRODUCTION,SU
63955,20170226,1,Schedule #105,SU
63917,20170227,1,FINAL,WD
63898,20170227,1,FINAL,WD
63893,20170227,1,FINAL,WD
63919,20170227,1,FINAL,WD
63896,20170227,1,FINAL,WD
63897,20170227,1,FINAL,WD
64032,20170227,1,PRODUCTION,WD
63953,20170227,1,Schedule #105,WD
63917,20170228,1,FINAL,WD
63898,20170228,1,FINAL,WD
63893,20170228,1,FINAL,WD
63919,20170228,1,FINAL,WD
63896,20170228,1,FINAL,WD
63897,20170228,1,FINAL,WD
64032,20170228,1,PRODUCTION,WD
63953,20170228,1,Schedule #105,WD
63917,20170301,1,FINAL,WD
63898,20170301,1,FINAL,WD
63893,20170301,1,FINAL,WD
63919,20170301,1,FINAL,WD
63896,20170301,1,FINAL,WD
63897,20170301,1,FINAL,WD
64032,20170301,1,PRODUCTION,WD
63953,20170301,1,Schedule #105,WD
63917,20170302,1,FINAL,WD
63898,20170302,1,FINAL,WD
63893,20170302,1,FINAL,WD
63919,20170302,1,FINAL,WD
63896,20170302,1,FINAL,WD
63897,20170302,1,FINAL,WD
64032,20170302,1,PRODUCTION,WD
63953,20170302,1,Schedule #105,WD
63917,20170303,1,FINAL,WD
63898,20170303,1,FINAL,WD
63893,20170303,1,FINAL,WD
63919,20170303,1,FINAL,WD
63896,20170303,1,FINAL,WD
63897,20170303,1,FINAL,WD
64032,20170303,1,PRODUCTION,WD
63953,20170303,1,Schedule #105,WD
63918,20170304,1,FINAL,SA
63894,20170304,1,FINAL,SA
63920,20170304,1,FINAL,SA
64033,20170304,1,PRODUCTION,SA
63954,20170304,1,Schedule #105,SA
63895,20170305,1,FINAL,SU
63921,20170305,1,FINAL,SU
64034,20170305,1,PRODUCTION,SU
63955,20170305,1,Schedule #105,SU
63917,20170306,1,FINAL,WD
63898,20170306,1,FINAL,WD
63893,20170306,1,FINAL,WD
63919,20170306,1,FINAL,WD
63896,20170306,1,FINAL,WD
63897,20170306,1,FINAL,WD
64032,20170306,1,PRODUCTION,WD
63953,20170306,1,Schedule #105,WD
63917,20170307,1,FINAL,WD
63898,20170307,1,FINAL,WD
63893,20170307,1,FINAL,WD
63919,20170307,1,FINAL,WD
63896,20170307,1,FINAL,WD
63897,20170307,1,FINAL,WD
64032,20170307,1,PRODUCTION,WD
63953,20170307,1,Schedule #105,WD
63917,20170308,1,FINAL,WD
63898,20170308,1,FINAL,WD
63893,20170308,1,FINAL,WD
63919,20170308,1,FINAL,WD
63896,20170308,1,FINAL,WD
63897,20170308,1,FINAL,WD
64032,20170308,1,PRODUCTION,WD
63953,20170308,1,Schedule #105,WD
63917,20170309,1,FINAL,WD
63898,20170309,1,FINAL,WD
63893,20170309,1,FINAL,WD
